gb_id,title,subtitle,authors,publisher,pub_date,language,categories,isbn13,isbn10,price_amount,price_currency
4ZctAAAAQBAJ,Data Science for Business,What You Need to Know about Data Mining and Data-Analytic Thinking,"Foster Provost, Tom Fawcett","""O'Reilly Media, Inc.""",2013-07-27,en,Computers,9781449374280,144937428X,28.08,EUR
CfjpAQAAQBAJ,Data Smart,Using Data Science to Transform Information into Insight,John W. Foreman,John Wiley & Sons,2013-10-31,en,Business & Economics,9781118839867,1118839862,,
YBKSDwAAQBAJ,Data Science from Scratch,First Principles with Python,Joel Grus,O'Reilly Media,2019-04-12,en,Computers,9781492041108,1492041106,,
uDvwEAAAQBAJ,Mindmasters,The Data-Driven Science of Predicting and Changing Human Behavior,Sandra Matz,Harvard Business Press,2025-01-07,en,Psychology,9781647826321,1647826322,29.44,EUR
xU-gzwEACAAJ,R for Data Science,"Import, Tidy, Transform, Visualize, and Model Data","Hadley Wickham, Mine Çetinkaya-Rundel, Garrett Grolemund",O'Reilly Media,2023-10-03,en,Computers,9781492097402,1492097403,,
ycNKAQAAQBAJ,Doing Data Science,Straight Talk from the Frontline,"Cathy O'Neil, Rachel Schutt","""O'Reilly Media, Inc.""",2013-10-09,en,Computers,9781449363901,1449363903,,
T2LeAQAACAAJ,Numsense! Data Science for the Layman,No Math Added,Annalyn Ng,Annalyn Ng & Kenneth Soo,2017-03-24,en,,9789811110689,9811110689,,
rimgEAAAQBAJ,Python Data Science Handbook,,Jake VanderPlas,"""O'Reilly Media, Inc.""",2022-12-06,en,Computers,9781098121198,1098121198,,
UlpVDwAAQBAJ,Data Science,,"John D. Kelleher, Brendan Tierney",MIT Press,2018-04-13,en,Computers,9780262347037,0262347032,15.38,EUR
GCUqEAAAQBAJ,Becoming a Data Head,"How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning","Alex J. Gutman, Jordan Goldmeier",John Wiley & Sons,2021-04-13,en,Business & Economics,9781119741763,1119741769,27.99,EUR
